iter	Passed	Remaining
395	175455	46079
396	175786	45607
397	176249	45169
398	176693	44726
399	177064	44266
400	177421	43802
401	177816	433484402	178164	428834403	178530	424234404	178859	419544405	179225	414954406	179613	410414407	180006	405894408	180445	401474409	180884	397064410	181317	392634411	181761	388224412	182142	383684413	182536	379184414	182956	374724415	183297	370114416	183741	365714417	184082	361114418	184440	356554419	184821	352044420	185238	347594421	185642	343134422	186042	338654423	186458	334214424	186850	329734425	187237	325244426	187606	320734427	187984	316234428	188365	311744429	188746	307264430	189157	302824431	189534	298344432	189948	293914433	190360	289484434	190790	28508
435	191208	28067
436	191604	27622
437	191969	27173
438	192337	26725
439	192686	26275
440	192997	25820
441	193347	25371
442	193647	249164443	193970	244644444	194264	24010
445	194606	23562
446	194892	23108
447	195253	22663
448	195565	22213
449	195910	21767
450	196300	21327
51	196072	20821
452	195998	20335
453	196317	19891
454	196555	19439
	22946
453	221675	22460
454	222141	21970
455	222573	21476
456	223085	20990
457	223557	20500
458	223982	20007
459	224575	19528
460	225064	19040
461	225546	18551
462	225998	18060
463	226445	17569
464	226910	17079
465	227391	16590
466	227863	16101
467	228255	15607
468	228738	15119
469	229369	14640
470	229846	14151
471	230322	13663
472	230768	13172
473	231249	12684
474	231706	12195
475	232103	11702
476	232684	11219
477	233136	10730
478	233604	10241
479	234140	9755
480	234685	9270
481	235185	8782
482	235627	8293
483	236114	7805
484	236594	7317
485	237049	6828
486	237504	6339
487	237913	5850
488	238369	5362
489	238845	4874
490	239357	4387
491	239823	3899
492	240324	3412
493	240798	2924
494	241224	2436
495	241658	1948
496	242147	1461
497	242659	974
498	243110	487
499	243600	0
