iter	MultiClass
0	1.368855859
1	1.353315658
2	1.338503915
3	1.324520317
4	1.311513648
5	1.299123813
6	1.287924586
7	1.277260687
8	1.266596802
9	1.256665042
10	1.247056074
11	1.238540526
12	1.23007378
13	1.221955723
14	1.214480924
15	1.206957714
16	1.199778085
17	1.192944372
18	1.18679615
19	1.180525695
20	1.174447536
21	1.169061516
22	1.163840919
23	1.158652617
24	1.1536857
25	1.149321254
26	1.145091348
27	1.141053621
28	1.136967459
29	1.133343788
30	1.129006515
31	1.124792259
32	1.120754154
33	1.116699522
34	1.112963986
35	1.10924076
36	1.105836045
37	1.102543344
38	1.099374088
39	1.096158584
40	1.093281146
41	1.090925118
42	1.088127801
43	1.085582878
44	1.082931324
45	1.080510554
46	1.078287137
47	1.076094627
48	1.073750878
49	1.071479832
50	1.069507761
51	1.06755334
52	1.065689031
53	1.063630591
54	1.062025745
55	1.060096511
56	1.05837724
57	1.05673313
58	1.055048415
59	1.053366714
60	1.052174929
61	1.050731624
62	1.049343313
63	1.047739357
64	1.046466747
65	1.045299899
66	1.044062413
67	1.042738647
68	1.041689632
69	1.040652713
70	1.039495582
71	1.038353689
72	1.037225372
73	1.035971808
74	1.034684768
75	1.033533693
76	1.032302749
77	1.031496251
78	1.030673983
79	1.029735868
80	1.028893623
81	1.027813704
82	1.027075446
83	1.026298529
84	1.025408871
85	1.024375164
86	1.023629806
87	1.02291179
88	1.022121108
89	1.021482737
90	1.020852479
91	1.020181413
92	1.01953886
93	1.018551644
94	1.017907051
95	1.016713067
96	1.015663576
97	1.015147368
98	1.014215267
99	1.012876214
100	1.012032445
101	1.011054106
102	1.010167649
103	1.00917721
104	1.008590955
105	1.007878521
106	1.006929689
107	1.006258272
108	1.005538156
109	1.004832901
110	1.004149746
111	1.00343445
112	1.002880465
113	1.002134485
114	1.00144007
115	1.000819643
116	1.000423192
117	0.9997602559
118	0.9993223302
119	0.9986164015
120	0.9981035917
121	0.9973245592
122	0.996974788
123	0.9964149738
124	0.9958078276
125	0.9953516376
126	0.9949805353
127	0.9945330293
128	0.9939354226
129	0.9934382107
130	0.9928272804
131	0.9922825677
132	0.9918539962
133	0.9913144385
134	0.9909501579
135	0.9904625407
136	0.9898531914
137	0.9890782203
138	0.9887881345
139	0.9884396801
140	0.9881178507
141	0.9877316642
142	0.9873814691
143	0.9868406786
144	0.9862613667
145	0.9859535128
146	0.9857352813
147	0.9851998608
148	0.9845990087
149	0.984257849
150	0.9838288855
151	0.9834635464
152	0.9831778561
153	0.9826538757
154	0.982282702
155	0.9820343102
156	0.9818325321
157	0.9813043564
158	0.9806363296
159	0.9798907327
160	0.9796012795
161	0.9793037149
162	0.9787967233
163	0.9785294119
164	0.9782314638
165	0.9779561501
166	0.9777496054
167	0.9773906725
168	0.9769466302
169	0.9766213908
170	0.9761593585
171	0.9758516158
172	0.9751073115
173	0.9748967146
174	0.9746626098
175	0.9742424165
176	0.9738293107
177	0.9735819017
178	0.9733440316
179	0.9729747054
180	0.9724774682
181	0.972318865
182	0.9720696212
183	0.9718098469
184	0.9712265916
185	0.9708830761
186	0.9704880097
187	0.9700420095
188	0.9698908002
189	0.9696543309
190	0.9694274964
191	0.9691903846
192	0.9688315873
193	0.9685620876
194	0.9681820821
195	0.9676974177
196	0.9674502181
197	0.9671675707
198	0.967016278
199	0.9668311805
200	0.9664205238
201	0.9660096225
202	0.965739466
203	0.965417184
204	0.9652787367
205	0.9650035739
206	0.9647997166
207	0.9645706509
208	0.9643463036
209	0.964044089
210	0.9638794612
211	0.9635392912
212	0.9632450845
213	0.962978532
214	0.9625699057
215	0.9623714785
216	0.9622315958
217	0.9620935103
218	0.9619579646
219	0.9616386265
220	0.9613659729
221	0.9609420664
222	0.9606379152
223	0.9604509412
224	0.9602254519
225	0.960025938
226	0.9597820788
227	0.9595961723
228	0.9594005073
229	0.9590910603
230	0.9588903099
231	0.958550301
232	0.9583679135
233	0.9579888476
234	0.957714726
235	0.9575921039
236	0.9573812433
237	0.9572396822
238	0.9570184179
239	0.9568479855
240	0.9567159596
241	0.9565070078
242	0.9562979243
243	0.9560290454
244	0.9559016466
245	0.955690681
246	0.9555154447
247	0.9553870945
248	0.9552631804
249	0.9551482213
250	0.955067675
251	0.954838037
252	0.9546958408
253	0.9543042419
254	0.9540889774
255	0.9539505413
256	0.9537991435
257	0.9536512629
258	0.9534670936
259	0.9532651571
260	0.9530307048
261	0.952742713
262	0.9525921815
263	0.9524881401
264	0.9521385504
265	0.9519309211
266	0.951732088
267	0.9515672896
268	0.9514110659
269	0.9512494581
270	0.9511387009
271	0.9509587385
272	0.9507780915
273	0.9506389028
274	0.9504519015
275	0.9503191048
276	0.950161185
277	0.9499795181
278	0.9498290175
279	0.949564803
280	0.9494076271
281	0.9492805661
282	0.949163933
283	0.948973488
284	0.948773308
285	0.9486125374
286	0.9485313583
287	0.9484211299
288	0.9481827913
289	0.9478894557
290	0.9477683501
291	0.9475675167
292	0.9473778044
293	0.9472280861
294	0.9469174455
295	0.9467800889
296	0.9465461402
297	0.9464050735
298	0.94626156
299	0.9460397901

299	0.953310627
300	0.9532273268
301	0.953110443
302	0.9529869426
303	0.9528356252
304	0.9527278324
305	0.952537428
306	0.9523241555
307	0.9522377677
308	0.952086822
309	0.9519831318
310	0.9519283035
311	0.9517637597
312	0.9516045065
313	0.9513661824
314	0.9512645399
315	0.9510334687
316	0.9509981633
317	0.9507956428
318	0.9506764104
319	0.9504043832
320	0.9503285767
321	0.9502423072
322	0.9501393897
323	0.9498500995
324	0.9496753912
325	0.9496183673
326	0.9494904301
327	0.9493026712
328	0.9490639753
329	0.9489587769
330	0.9488893155
331	0.9488078733
332	0.9487013019
333	0.9483712752
334	0.9482880654
335	0.9481806222
336	0.9480843587
337	0.9480005491
338	0.9478145306
339	0.9476989137
340	0.9476364507
341	0.9474931176
342	0.9473521283
343	0.9472103444
344	0.9469383754
345	0.9468078209
346	0.9467105981
347	0.9465802616
348	0.9465056577
349	0.9464365435
350	0.946262705
351	0.9461470482
352	0.9460386441
353	0.9459389356
354	0.9458112016
355	0.9456961747
356	0.9456214625
357	0.9455664256
358	0.9454844819
359	0.945362152
360	0.9452513432
361	0.9451630159
362	0.9450126244
363	0.9449449786
364	0.9448282713
365	0.9446958026
366	0.9445658915
367	0.9445242548
368	0.9444228683
369	0.944267245
370	0.9441198727
371	0.944035067
372	0.9439423045
373	0.943852543
374	0.9437889632
375	0.9436976005
376	0.9436494987
377	0.9435904564
378	0.9434720823
379	0.943389322
380	0.9433464843
381	0.9431690712
382	0.9430486394
383	0.9429579052
384	0.9428248332
385	0.9427127938
386	0.9426194423
387	0.9423991871
388	0.9423210901
389	0.9423018582
390	0.9421753429
391	0.9420665281
392	0.9419795426
393	0.9419300313
394	0.9418722134
395	0.9417319042
396	0.941679997
397	0.9415855724
398	0.9415355625
399	0.9413871343
400	0.9412905068
401	0.9411098313
402	0.941035133
403	0.9409433156
404	0.9408180626
405	0.9407095197
406	0.9406582792
407	0.940545748
408	0.9404767121
409	0.9403992124
410	0.9403463386
411	0.9403018619
412	0.9402263206
413	0.9400870768
414	0.9400006209
415	0.9398937265
416	0.9398568713
417	0.939802701
418	0.939702177
419	0.9396614002
420	0.9395813391
421	0.9394900184
422	0.9394134265
423	0.9393042616
424	0.9392223552
425	0.9390315888
426	0.9389829071
427	0.9389275704
428	0.9388774697
429	0.9387362532
430	0.9386527277
431	0.9385773152
432	0.938482431
433	0.938394435
434	0.9383026705
435	0.9382536455
436	0.9381643302
437	0.9381163027
438	0.9381034021
439	0.9379815589
440	0.9379354876
441	0.9378560287
442	0.9377784113
443	0.9377526173
444	0.9376809304
445	0.9375723686
446	0.9374148591
447	0.9373368963
448	0.937284202
449	0.9372116969
450	0.9371106309
451	0.9369545848
452	0.9368242421
449	0.911629514
450	0.9115109479
452	0.9125168884
453	0.912414045
454	0.9123184427
5660307
458	0.9384847906
459	0.9383823638
460	0.9382187073
461	0.9380636884
462	0.9380183141
463	0.937969916
464	0.937899605
465	0.9378275633
466	0.9377131628
467	0.9376537038
468	0.937617942
469	0.9375486185
470	0.9374447803
471	0.9374039469
472	0.9373586212
473	0.9372761206
474	0.9371827187
475	0.9371730623
476	0.9371066764
477	0.9370107218
478	0.9369327019
479	0.9368167875
480	0.9367347833
481	0.9366787171
482	0.9366374121
483	0.9365956212
484	0.9365536294
485	0.9365048657
486	0.9364337019
487	0.9363900417
488	0.9363363283
489	0.9362756682
490	0.9362369383
491	0.9361765246
492	0.9360783319
493	0.9360495445
494	0.9360295824
495	0.9359500036
496	0.9358775414
497	0.9358262972
498	0.935739701
499	0.9356587185
